titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Biology,Neil Alexander Campbell,1987,1980s,English,science,57,3.88,25.0
The Fall of Hyperion,Dan Simmons,1990,1990s,Other,science,29,4.053571,56.0
Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,2010s,Chinese,science,27,4.35,100.0
Понедельник начинается в субботу; Пикник на обочине,Аркадий Стругацкий,1978,1970s,French,science,23,4.3,70.0
The Caves of Steel,Isaac Asimov,1953,1950s,Other,science,61,4.3076925,26.0
The Foundation Trilogy,Isaac Asimov,1950,1950s,German,science,54,4.1904764,63.0
The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,2008,2000s,Chinese,science,30,4.451613,31.0
Nightfall,Isaac Asimov,1969,1960s,Russian,science,27,4.185185,27.0
The Naked Sun,Isaac Asimov,1954,1950s,Chinese,science,52,3.9545455,22.0
I Have No Mouth and I Must Scream,Harlan Ellison,1972,1970s,English,science,5,4.116279,43.0
A short history of nearly everything,Bill Bryson,2003,2000s,German,science,57,4.158416,101.0
Altered Carbon,Richard K. Morgan,2002,2000s,Italian,science,28,3.85,60.0
God Emperor of Dune,Frank Herbert,1981,1980s,French,science,40,3.945946,74.0
The Mote in God's Eye,Larry Niven,1974,1970s,English,science,31,4.0425534,47.0
Dune Messiah,Frank Herbert,1969,1960s,German,science,70,3.9481483,135.0
2001,Arthur C. Clarke,1968,1960s,English,science,117,4.195122,123.0
The End of Eternity,Isaac Asimov,1955,1950s,Other,science,62,4.352941,17.0
"The Stars, Like Dust",Isaac Asimov,1951,1950s,Portuguese,science,47,3.5185184,27.0
Endymion,Dan Simmons,1995,1990s,Other,science,18,3.9333334,30.0
Lucifer's Hammer,Larry Niven,1977,1970s,English,science,13,4.0,30.0
Project Hail Mary,Andy Weir,2021,2020s,German,science,30,4.490683,161.0
Microbiology,Gerard J. Tortora,1982,1980s,English,science,80,4.285714,21.0
The Currents of Space,Isaac Asimov,1952,1950s,Chinese,science,46,3.8,15.0
What If?,Randall Munroe,1980,1980s,Spanish,science,44,4.308411,107.0
Artemis,Andy Weir,2017,2010s,Portuguese,science,33,3.6929133,127.0
"The Long Way to a Small, Angry Planet",Becky Chambers,2014,2010s,French,science,21,4.084337,83.0
Chapterhouse Dune,Frank Herbert,1985,1980s,Other,science,35,3.9,20.0
Pandora's Star,Peter F. Hamilton,2004,2000s,German,science,12,4.071429,42.0
The Martian Chronicles,Ray Bradbury,1950,1950s,Portuguese,science,138,4.093458,107.0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,2010s,English,science,15,3.9661016,59.0
A Closed and Common Orbit,Becky Chambers,2016,2010s,Portuguese,science,12,4.2173915,46.0
Friday,Robert A. Heinlein,1982,1980s,French,science,25,3.8666666,15.0
Burning Chrome,William Gibson,1986,1980s,Dutch,science,24,3.8958333,48.0
The Robots of Dawn,Isaac Asimov,1983,1980s,Russian,science,41,4.159091,44.0
The 48 Laws of Power,Robert Greene,1998,1990s,Other,science,55,4.016239,1170.0
Heretics of Dune,Frank Herbert,1984,1980s,Russian,science,35,3.86,50.0
Contact,Carl Sagan,1985,1980s,Other,science,50,4.1764708,102.0
Solaris,Stanisław Lem,1961,1960s,Italian,science,76,3.9285715,28.0
Snow Crash,Neal Stephenson,1992,1990s,French,science,41,4.068421,190.0
The Stars My Destination,Alfred Bester,1956,1950s,English,science,25,3.9166667,24.0
The Invisible Man,H. G. Wells,0,0s,Other,science,563,3.8018868,106.0
Ancillary Sword,Ann Leckie,2014,2010s,English,science,7,3.9298246,57.0
The Last Colony,John Scalzi,2007,2000s,Other,science,11,3.71875,64.0
Foundation,Isaac Asimov,1951,1950s,German,science,99,4.1070232,299.0
Dune,Frank Herbert,1965,1960s,Other,science,120,4.3049645,423.0
A Fire upon the Deep,Vernor Vinge,1992,1990s,English,science,24,4.257143,70.0
Starship Troopers,Robert A. Heinlein,1959,1950s,French,science,60,3.8225806,62.0
Robots and Empire,Isaac Asimov,1985,1980s,English,science,26,4.275862,29.0
Les Robots,Isaac Asimov,1950,1950s,Chinese,science,98,4.252747,182.0
Ubik,Philip K. Dick,1969,1960s,Other,science,68,3.9452055,73.0
The Demon-Haunted World,Carl Sagan,1995,1990s,Spanish,science,33,4.1190476,42.0
The Diamond Age,Neal Stephenson,1995,1990s,German,science,28,4.1,90.0
Sapiens,Yuval Noah Harari,2011,2010s,Other,science,86,4.226601,203.0
Destroy Me,Tahereh Mafi,2012,2010s,English,science,4,4.0869565,23.0
A Deepness in the Sky (Zones of Thought),Vernor Vinge,1999,1990s,English,science,10,4.428571,35.0
Foundation and Earth,Isaac Asimov,1986,1980s,Other,science,48,4.029412,68.0
Brief Answers to the Big Questions,Stephen Hawking,2014,2010s,Other,science,16,4.28,25.0
Nemesis Games,James S. A. Corey,2015,2010s,English,science,14,4.2777777,18.0
Principles of Anatomy and Physiology,Gerard J. Tortora,1975,1970s,Other,science,218,3.3809524,21.0
The Difference Engine,William Gibson,1990,1990s,English,science,28,3.32,25.0
The Number of the Beast,Robert A. Heinlein,1980,1980s,Other,science,19,3.0,8.0
Shards of Honor,Lois McMaster Bujold,1986,1980s,English,science,10,4.3333335,21.0
Dawn,Octavia E. Butler,1987,1980s,German,science,19,4.15625,32.0
A Modern Utopia,H. G. Wells,1900,1900s,Dutch,science,102,3.357143,14.0
"2010, odyssey two",Arthur C. Clarke,1982,1980s,Portuguese,science,41,3.7894738,38.0
The Gods of Mars,Edgar Rice Burroughs,1918,1910s,English,science,315,4.2,10.0
三体,刘慈欣,2008,2000s,Chinese,science,41,3.9292452,212.0
Use of Weapons,Iain Banks,1990,1990s,English,science,16,3.9661016,59.0
Kongres futurologiczny,Stanisław Lem,1974,1970s,English,science,25,4.142857,21.0
The Gods Themselves,Isaac Asimov,1972,1970s,Other,science,49,4.0444446,45.0
Geography,Harm J. de Blij,1971,1970s,English,science,31,4.5,2.0
Xenocide,Orson Scott Card,1991,1990s,French,science,38,3.795699,93.0
Minority Report,Philip K. Dick,1998,1990s,English,science,14,3.8695652,23.0
International Review of Cell and Molecular Biology,Kwang W. Jeon,2008,2000s,English,science,95,3.6666667,3.0
Virtual light,William Gibson,1743,1740s,English,science,26,3.7586207,29.0
Foundation and Empire,Isaac Asimov,1945,1940s,Dutch,science,82,4.114865,148.0
Discrete Mathematics with Applications,Susanna S. Epp,1990,1990s,English,science,16,3.2,5.0
Rocannon's World,Ursula K. Le Guin,1966,1960s,German,science,26,3.642857,14.0
The Science Fiction Hall of Fame -- Volume One,Robert Silverberg,1970,1970s,English,science,31,4.5,6.0
A Briefer History of Time,Stephen Hawking,2005,2000s,Chinese,science,34,3.652174,23.0
The Chrysalids,John Wyndham,1955,1950s,English,science,37,4.3333335,9.0
The Ringworld throne,Larry Niven,1996,1990s,English,science,11,3.15,20.0
Protector,Larry Niven,1973,1970s,English,science,19,4.0666666,15.0
Abaddon’s Gate,James S. A. Corey,2013,2010s,English,science,12,4.147059,68.0
The player of games,Iain Banks,1988,1980s,German,science,23,4.202532,79.0
Bumi Manusia,Pramoedya Ananta Toer,1972,1970s,Dutch,science,18,4.4246573,73.0
"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,1996,1990s,Italian,science,10,4.4134617,104.0
The Sirens of Titan,Kurt Vonnegut,1959,1950s,Spanish,science,31,3.8333333,12.0
Diaspora,Greg Egan,1997,1990s,English,science,12,3.5714285,14.0
Blindsight,Peter Watts,2006,2000s,Chinese,science,12,4.076923,65.0
The Martian,Andy Weir,2011,2010s,Italian,science,74,4.3944955,327.0
Broken Angels,Richard K. Morgan,2003,2000s,English,science,16,3.5,28.0
The Rise of Endymion,Dan Simmons,1997,1990s,Spanish,science,14,4.0,21.0
Prelude to Foundation,Isaac Asimov,1988,1980s,Portuguese,science,43,3.75,12.0
Pebble in the Sky,Isaac Asimov,1950,1950s,German,science,42,4.1153846,26.0
Defy Me (Shatter Me),Tahereh Mafi,2019,2010s,English,science,8,4.75,16.0
On Basilisk Station,David Weber,1993,1990s,German,science,18,3.5217392,23.0
Green Mars,Kim Stanley Robinson,1993,1990s,German,science,30,3.7837837,37.0
Shatter Me Complete Collection,Tahereh Mafi,2011,2010s,English,science,4,4.3846154,26.0
